name_ru,name_en
CD-чейнджер,CD changer
DVD,DVD
DVD-чейнджер,DVD changer
TV тюнер,TV tuner
Абсорбер бампера,Bumper Absorber
Автономный кондиционер,Autonomous air conditioner
Автономный отопитель,Autonomous heater
Адсорбер,Adsorber
Аккумулятор (АКБ),Battery (battery)
Аккумуляторный ящик (АКБ),Battery box (battery)
Активатор (привод) замка двери,Activator (drive) of the door lock
Активатор замка багажника,Trunk lock activator
Активатор замка крышки топливного бака,Fuel Tank Cap Lock Activator
Актуатор HSR,HSR Actuator
Актуатор выбора передач,Gear selection actuator
Актуатор сцепления,Clutch actuator
Амортизатор (демпфер) рулевой рейки,Shock absorber (damper) steering rack
Амортизатор двери,Door shock absorber
Амортизатор задний,Rear shock absorber
Амортизатор задний левый,Shock absorber rear left
Амортизатор задний правый,Shock absorber rear right
Амортизатор кабины,Cab shock absorber
Амортизатор капота,Hood shock absorber
Амортизатор крышки багажника (3-5 двери),Trunk lid shock absorber (3-5 doors)
Амортизатор передний,Front shock absorber
Амортизатор передний левый,Shock absorber front left
Амортизатор передний правый,Shock absorber front right
Амортизатор пола багажника,Trunk floor shock absorber
Амортизатор сиденья,Seat shock absorber
Амортизатор спальника,Sleeping bag shock absorber
Амортизатор стекла багажника,Shock absorber of the trunk glass
Ангельские глазки в фары,Angel eyes in the headlights
Антенна,Antenna
Антенна Bluetooth,Bluetooth Antenna
Антенна иммобилайзера,Immobilizer antenna
Антенна навигации,Navigation antenna
Антенна сигнализации,Alarm antenna
Антенна системы Комфортный доступ,Antenna system Comfortable access
Аптечка,First aid kit
Арка задняя левая,Arch rear left
Арка задняя правая,Rear right arch
Арка передняя левая,Front left arch
Арка передняя правая,Front right arch
Аудиосистема (комплект),Audio system (set)
Багажник на крышу,Roof rack
Бак AdBlue,AdBlue Tank
Бак гидравлический,Hydraulic tank
Бак масляный,Oil tank
Бак топливный,Fuel tank
Балка под КПП,Beam under the checkpoint
Балка под радиатор,Beam under the radiator
Балка подвески задняя,Suspension beam rear
Балка подвески передняя (подрамник),Suspension beam front (subframe)
Бампер задний,Rear bumper
Бампер передний,Front bumper
Барабан АКПП,Automatic transmission drum
Барабан тормозной,Brake drum
Бардачок,Glove compartment
Бачок LHM,LHM tank
Бачок гидроусилителя,Power steering tank
Бачок главного тормозного цилиндра,Tank of the main brake cylinder
Бачок главного цилиндра сцепления,Clutch master cylinder tank
Бачок иолиса,Iolis tank
Бачок кондиционера,Air conditioner tank
Бачок омывателя,Washer tank
Бачок омывателя фар,Headlight washer tank
Бачок расширительный,Expansion tank
Бачок тормозной жидкости,Brake fluid tank
Башмак рессоры,Spring shoe
Бендикс (обгонная муфта) стартера,Bendix (overrunning clutch) of the starter
Беспроводное зарядное устройство,Wireless Charger
Бленда,Blend
Блок ABS,ABS unit
Блок AGW,AGW Block
Блок AirBag,AirBag Unit
Блок AKS,AKS Block
Блок Bluetooth,Bluetooth Unit
Блок BSI,BSI Block
Блок BSM,BSM Block
Блок CCS,CCS Block
Блок CEM,CEM Block
Блок FFR,FFR Block
Блок REM,REM Block
Блок SAM,SAM Block
Блок VCM LTE,VCM LTE Unit
Блок VECU,VECU Block
Блок VIC,The VIC block
Блок ZBR,ZBR Block
Блок аварийного вызова,Emergency Call Block
Блок бортовой сети (блок управления BCM),On-board network unit (BCM control unit)
Блок клапанов активного стабилизатора,Active stabilizer Valve Block
Блок клапанов гидроподвески,Hydraulic suspension valve block
Блок клапанов пневмоподвески,Air suspension valve block
Блок кнопок,Button Block
Блок комфорта,Comfort Unit
Блок контроля АКБ,Battery control unit
Блок контроля давления в шинах,Tire pressure monitoring unit
Блок контроля мощности,Power control unit
Блок координатор,Coordinator Block
Блок круиз-контроля,Cruise control unit
Блок мультимедиа,Multimedia Block
Блок навигации,Navigation block
Блок памяти сидений,Seat Memory unit
Блок питания,Power supply unit
Блок предохранителей,Fuse box
Блок радио,Radio Unit
Блок регулировки угла наклона фар,Headlight angle adjustment unit
Блок реле,Relay unit
Блок розжига LED,LED ignition unit
Блок розжига ксенона,Xenon ignition unit
Блок ручника (стояночного тормоза),Handbrake unit (parking brake)
Блок согласования фаркопа,Towbar approval unit
Блок соленоидов АКПП,Automatic transmission solenoid unit
Блок считывания ключ-карты,Key Card Reader unit
Блок управления (другие),Control unit (other)
Блок управления AAM,AAM Control Unit
Блок управления ABS,ABS control Unit
Блок управления Active Sound Design,Active Sound Design Control Unit
Блок управления AdBlue,AdBlue Control Unit
Блок управления AMI,AMI Control Unit
Блок управления BDC,BDC Control Unit
Блок управления CAS,CAS Control Unit
Блок управления Dynamic Drive,Dynamic Drive Control Unit
Блок управления Easytronic,Easytronic control unit
Блок управления EBS,EBS Control Unit
Блок управления EGAS,EGAS Control Unit
Блок управления ESP,ESP Control Unit
Блок управления ETS,ETS Control Unit
Блок управления FEM,FEM Control Unit
Блок управления FFC,FFC Control Unit
Блок управления HSR,HSR Control Unit
Блок управления ICM,ICM Control Unit
Блок управления KaFAS,KaFAS Control Unit
Блок управления KSM,KSM Control Unit
Блок управления MPX,MPX Control Unit
Блок управления SAS,SAS Control Unit
Блок управления Shift Lock,Shift Lock Control Unit
Блок управления USB,USB Control Unit
Блок управления VDP,VDP Control Unit
Блок управления VVT Valvetronic,VVT Valvetronic control unit
Блок управления ZGW,ZGW Control Unit
Блок управления автономным отопителем,Autonomous heater control unit
Блок управления автопилотом,Autopilot control Unit
Блок управления аккумулятором (АКБ),Battery control unit (battery)
Блок управления АКПП,Automatic transmission control unit
Блок управления бесключевым доступом,Keyless access control unit
Блок управления блокировкой дифференциала,Differential lock control unit
Блок управления вентилятором радиатора,Radiator fan control unit
Блок управления газового оборудования,Gas equipment control unit
Блок управления гибрида,Hybrid control unit
Блок управления гидроподвеской,Hydraulic suspension control unit
Блок управления двери,Door control unit
Блок управления двери задней левой,Rear left door control unit
Блок управления двери задней правой,Rear right door control unit
Блок управления двери передней левой,Front left door control unit
Блок управления двери передней правой,Front right door control unit
Блок управления двигателем,Engine control unit
Блок управления движением по полосам,Lane Traffic Control Unit
Блок управления дистанционным запуском,Remote start control unit
Блок управления заднего редуктора,Rear gearbox control unit
Блок управления заднего функционального модуля,Control unit of the rear functional module
Блок управления зеркалами,Mirror Control Unit
Блок управления кабины,Cab control unit
Блок управления камерой,Camera control unit
Блок управления коммутационным центром,Switching center control unit
Блок управления кондиционера,Air conditioner control unit
Блок управления крыши / люка,Roof/sunroof control unit
Блок управления крышкой багажника,Trunk lid control unit
Блок управления магнитолой,Radio control unit
Блок управления монитором,Monitor Control Unit
Блок управления муфты Haldex,Haldex clutch control unit
Блок управления ограничения скорости (CVM),Speed Limit Control Unit (CVM)
Блок управления парктрониками,Parking sensors control unit
Блок управления печки/климат-контроля,Stove/climate control control unit
Блок управления пневмоподвеской,Air suspension control unit
Блок управления подогревом лобового стекла,Windshield heating control unit
Блок управления подогревом сидения,Seat heating control unit
Блок управления подрулевыми переключателями,Steering wheel control unit
Блок управления полным приводом,All-wheel drive control unit
Блок управления противоугонной системой,Anti-theft system control unit
Блок управления раздаточной коробки,Transfer case control unit
Блок управления ремнем безопасности,Seat belt control unit
Блок управления ретардером,Retarder control unit
Блок управления роботизированной КПП,The control unit of the robotic checkpoint
Блок управления рулевой колонки,Steering column control unit
Блок управления рулевой рейки,Steering rack control unit
Блок управления светом,Light control unit
Блок управления светом AFS,AFS Light Control Unit
Блок управления светом HCM,HCM Light Control Unit
Блок управления сервотроника,Servotronics control unit
Блок управления сигнализацией,Alarm control unit
Блок управления сиденьем,Seat control unit
Блок управления системы Комфортный доступ,The control unit of the Comfort access system
Блок управления системы нейтрализации ОГ,Control unit of the exhaust gas neutralization system
Блок управления стеклоподъемниками,Power window control unit
Блок управления телекоммуникаций,Telecommunications Control Unit
Блок управления телефоном,Phone control unit
Блок управления ТНВД,Fuel pump control unit
Блок управления топливным насосом,Fuel pump control unit
Блок управления турбиной,Turbine control unit
Блок управления форсунками,Nozzle control unit
Блок управления центральным замком,Central lock control unit
Блок управления электроусилителя руля,Electric power steering control unit
Блок цилиндров,Cylinder block
Боковина кузова левая,Left sidewall of the body
Боковина кузова правая,Right sidewall of the body
Бокс выдвижной под сиденье,Pull-out box under the seat
Бокс межкресельный,Inter-seat box
Болт,Pin
Болт генератора,Generator Bolt
Болт колесный,Wheel bolt
Болт маховика,Flywheel Bolt
Болт развальный,The bolt is collapsible
Болт шкива коленвала,Crankshaft Pulley Bolt
Борт откидной,Folding side
Брелок (пульт дистанционного управления),Keychain (remote control)
Брызговик,Mudguard
Вакуумный ресивер,Vacuum receiver
Вакуумный усилитель тормозов,Vacuum brake booster
Вал балансирный,Balancing shaft
"Вал КПП (АКПП, раздатки)","Gearbox shaft (automatic transmission, distributor)"
Вал промежуточный,Intermediate shaft
Вал рулевой рейки,Steering rack shaft
Вал ТНВД,Fuel pump shaft
Вал тормозной,Brake shaft
Вариатор,Variator
Велобагажник на крышку багажника,Bicycle bag on the trunk lid
Велобагажник на крышу,Bike rack on the roof
Велобагажник на фаркоп,Bicycle towbar
Венец зубчатый маховика,Crown gear flywheel
Вентилятор кондиционера,Air conditioner fan
Вентилятор охлаждения батареи,Battery Cooling Fan
Вентилятор охлаждения отсека электроники,Electronics compartment cooling fan
Вентилятор радиатора,Radiator fan
Ветрозащитная перегородка,Windproof partition
Вибромотор руля,Steering wheel vibration motor
Видеомодуль,Video module
Вилка амортизатора,Shock absorber fork
Вилка стартера,Starter plug
Вилка сцепления,Clutch fork
Винтовая подвеска (койловеры),Screw suspension (coilovers)
Вискомуфта,Viskomufta
Вкладыш коренной,Root Insert
Вкладыш шатунный,Connecting rod insert
Водосток капота,Hood drain
Водосток крышки багажника левый,Trunk lid drain left
Водосток крышки багажника правый,Trunk lid drain right
Воздуховод,Air duct
Воздуховод интеркулера,Intercooler air duct
Воздуховод радиатора,Radiator duct
Воздуховод тормозной левый,Brake air duct left
Воздуховод тормозной правый,Brake air duct right
Воздухозаборник,Air intake
Втулка направляющая выжимного подшипника,Sleeve guide of the release bearing
Втулка руля,Steering wheel hub
Втулка стабилизатора,Stabilizer bushing
Втулка шлицевая АКПП,Spline sleeve automatic transmission
Выключатель концевой (концевик),Limit switch (limit switch)
Выключатель массы (контактор),Mass switch (contactor)
Высоковольтная батарея,High voltage battery
Газовое оборудование (комплект),Gas equipment (set)
Газовый баллон,Gas cylinder
Газовый редуктор,Gas reducer
Гайка колесная,Wheel nut
Гайка ступицы,Hub Nut
Гайка топливного насоса,Fuel pump nut
Генератор,Generator
Генератор звука двигателя,Engine Sound Generator
Гидроаккумулятор,Hydraulic accumulator
Гидроблок АКПП,Automatic transmission hydroblock
Гидроборт,Hydroboard
Гидрокомпенсатор,Hydraulic compensator
Гидромуфта,Hydraulic coupling
Гидростойка задняя левая,Water resistance rear left
Гидростойка задняя правая,Hydraulic resistance rear right
Гидростойка передняя левая,Water resistance front left
Гидростойка передняя правая,Water resistance front right
Гидросфера,Hydrosphere
Гидросфера задняя левая,Hydrosphere rear left
Гидросфера задняя правая,Hydrosphere rear right
Гидросфера передняя левая,Hydrosphere front left
Гидросфера передняя правая,Hydrosphere front right
Гидротрансформатор АКПП (бублик),Automatic transmission torque converter (bagel)
Гидроцилиндр задний,Rear hydraulic cylinder
Гидроцилиндр рулевой,Steering hydraulic cylinder
Гильза цилиндра,Cylinder liner
Гироскоп,Gyroscope
Глушитель,Silencer
Глушитель автономного отопителя,Autonomous heater muffler
Головка блока цилиндров,Cylinder head
Головка стартера,Starter head
Горелка автономного отопителя,Burner of an autonomous heater
Горловина бака AdBlue,AdBlue Tank Neck
Горловина бачка омывателя,The neck of the washer tank
Горловина топливного бака,Fuel tank neck
Горный тормоз (ретардер),Mountain brake (retarder)
Гофра глушителя,Muffler corrugation
Гофра инжектора,Injector corrugation
Гофра проводки багажника,Trunk wiring corrugation
Гофра проводки двери,Door wiring Corrugation
Датчик (прочие),Sensor (other)
Датчик ABS,ABS sensor
Датчик ABS задний,ABS rear sensor
Датчик ABS передний,ABS sensor front
Датчик AirBag,AirBag Sensor
Датчик NOx,NOx sensor
Датчик абсолютного давления,Absolute pressure sensor
Датчик воды в топливном фильтре,Water sensor in the fuel filter
Датчик давления в шине,Tire pressure sensor
Датчик давления выхлопных газов,Exhaust gas pressure sensor
Датчик давления масла,Oil pressure sensor
Датчик давления масла АКПП,Automatic transmission oil pressure sensor
Датчик давления наддува,Boost pressure sensor
Датчик давления пневмосистемы,Pneumatic system pressure sensor
Датчик давления топлива,Fuel pressure sensor
Датчик детонации,Detonation sensor
Датчик доводчика багажника (двери),Trunk door closer sensor (door)
Датчик дождя,Rain sensor
Датчик загрязнения воздуха,Air pollution sensor
Датчик заднего хода (лягушка),Reverse gear sensor (frog)
Датчик закрытия крышки багажника,Trunk lid closing sensor
Датчик звукового сигнала (зуммер),Sound signal sensor (buzzer)
Датчик клапана турбины,Turbine valve sensor
Датчик коленвала,Crankshaft sensor
Датчик кондиционера,Air conditioner sensor
Датчик круиз-контроля,Cruise control sensor
Датчик курсовой устойчивости,Directional stability sensor
Датчик мертвых (слепых) зон,Sensor of dead (blind) zones
Датчик оборотов ТНВД,Sensor of fuel pump revolutions
Датчик парктроника,Parking sensor
Датчик педали тормоза (лягушка),Brake pedal sensor (frog)
Датчик положения АКПП (позиционер),Automatic transmission position sensor (positioner)
Датчик положения дроссельной заслонки,Throttle position sensor
Датчик положения кузова,Body position sensor
Датчик положения педали газа,Gas pedal position sensor
Датчик положения педали сцепления,Clutch pedal position sensor
Датчик положения подвески,Suspension position sensor
Датчик распредвала,Camshaft sensor
Датчик рулевой рейки (сервотроник),Steering rack sensor (servotronic)
Датчик света,Light sensor
Датчик системы Комфортный доступ,Sensor system Comfortable access
Датчик скорости,Speed sensor
Датчик температуры,Temperature sensor
Датчик температуры автономного отопителя,Autonomous heater temperature sensor
Датчик температуры выхлопных газов,Exhaust gas temperature sensor
Датчик температуры охлаждающей жидкости,Coolant temperature sensor
Датчик топливного фильтра,Fuel filter sensor
Датчик угла поворота руля,Steering angle sensor
Датчик удара,Impact sensor
Датчик уровня масла,Oil level sensor
Датчик уровня омывающей жидкости,Washer fluid level sensor
Датчик уровня охлаждающей жидкости,Coolant level sensor
Датчик уровня топлива,Fuel level sensor
Датчик уровня тормозной жидкости,Brake fluid level sensor
Датчик ускорения,Acceleration sensor
Датчик холодного пуска,Cold start sensor
Датчик холостого хода,Idling sensor
Датчик частоты вращения вала АКПП,Automatic transmission shaft speed sensor
Датчик эксцентрикового вала,Eccentric shaft sensor
Дверь задняя левая,Rear left door
Дверь задняя правая,Rear right door
Дверь задняя распашная левая,Rear swing door left
Дверь задняя распашная правая,Right rear swing door
Дверь передняя левая,Front left door
Дверь передняя правая,Front right door
Дверь сдвижная,Sliding door
Дверь сдвижная левая,Sliding door left
Дверь сдвижная правая,Sliding door right
Двигатель,Engine
Двигатель вентилятора радиатора,Radiator fan motor
Двигатель электролюка,Electric car engine
Декоративная крышка двигателя,Decorative engine cover
Демпфер,Damper
Держатель капота,Hood Holder
Дефлектор (обтекатель) кабины,Deflector (fairing) of the cabin
Дефлектор капота,Hood deflector
Дефлектор обдува салона,Interior air deflector
Дефлектор радиатора,Radiator deflector
Дефлекторы окон (ветровики),Window deflectors (windshields)
Джойстик регулировки зеркал,Joystick for adjusting mirrors
Джойстик регулировки рулевой колонки,Steering column adjustment joystick
Джойстик управления мультимедиа,Multimedia control joystick
Диагностический интерфейс,Diagnostic interface
Динамик,Speaker
Динамик высокочастотный (пищалка),High-frequency speaker (squeaker)
Динамик двери задней левой,Rear left door speaker
Динамик двери задней правой,Rear right door speaker
Динамик двери передней левой,Front left door speaker
Динамик двери передней правой,Front right door speaker
Динамик торпедо левый,Torpedo speaker left
Динамик торпедо правый,The torpedo speaker is right
Диск литой,Cast disc
Диск опорный тормозной,Brake support disc
Диск сцепления,Clutch disc
Диск тормозной (комплект),Brake disc (set)
Диск тормозной задний,Rear brake disc
Диск тормозной передний,Front brake disc
Диск штампованный,Disk Stamped
Дисплей,Display
Дисплей компьютера,Computer Display
Дистроник,Distronic
Дифференциал,Differential
Диффузор вентилятора,Fan diffuser
Диффузор заднего бампера,Rear bumper diffuser
Дневные ходовые огни (комплект),Daytime running lights (set)
Дневные ходовые огни левые,Daytime running lights left
Дневные ходовые огни правые,Daytime running lights right
Доводчик двери,Door closer
Дождевик,Raincoat
Дозатор-распределитель топлива,Fuel dispenser-distributor
Домкрат,Jack
Дуги на крышу (рейлинги),Roof arches (rails)
Жалюзи,Blinds
Заглушка,Plug
Заглушка (решетка) в бампер,Plug (grille) in the bumper
Заглушка (решетка) в бампер задний,Plug (grille) in the rear bumper
Заглушка (решетка) в бампер передний,Plug (grille) in the front bumper
Заглушка для глушителя (сайленсер),Silencer plug (silencer)
Заглушка зеркала левого,Left mirror plug
Заглушка зеркала правого,Right mirror plug
Заглушка порога,Threshold plug
Задняя накладка центрального тоннеля,Rear lining of the central tunnel
Задняя панель кузова,Rear body panel
Задняя часть кузова (тазик),Rear part of the body (basin)
Замок багажника,Trunk lock
Замок бардачка,Glove compartment lock
Замок двери,Door lock
Замок двери задней левой,Rear left door lock
Замок двери задней правой,Rear right door lock
Замок двери передней левой,Front left door lock
Замок двери передней правой,Front right door lock
Замок двери сдвижной,Sliding door lock
Замок зажигания,Ignition lock
Замок кабины,Cab lock
Замок капота,Hood lock
Замок крыши,Roof lock
Замок лючка топливного бака,Fuel tank hatch lock
Замок ремня безопасности,Seat belt lock
Замок рулевой колонки,Steering column lock
Замок спинки сиденья,Seat back lock
Замок стекла двери багажника,Trunk door glass lock
Зарядное устройство (кабель зарядный),Charger (charging cable)
Заслонка горного тормоза,Mountain brake flap
Заслонка дроссельная,Throttle valve
Заслонка печки/климат-контроля,Oven flap/climate control
"Защита (кожух, крышка) ремня генератора","Protection (casing, cover) of the generator belt"
Защита (кожух) ремня ГРМ,Timing belt protection (casing)
Защита (экран) выпускного коллектора,Exhaust manifold protection (screen)
Защита арок (подкрылок),Protection of arches (underwing)
Защита арок задняя левая (подкрылок),Protection of arches rear left (underwing)
Защита арок задняя правая (подкрылок),Protection of arches rear right (underwing)
Защита арок передняя левая (подкрылок),Protection of arches front left (underwing)
Защита арок передняя правая (подкрылок),Protection of arches front right (underwing)
Защита бампера заднего,Rear bumper protection
Защита бампера переднего,Front bumper protection
Защита бамперов (комплект),Bumper protection (kit)
Защита двигателя,Engine protection
Защита днища,Bottom protection
Защита КПП,Checkpoint protection
Защита при переворачивании,Overturning protection
Защита радиатора,Radiator protection
Защита раздаточной коробки,Transfer case protection
Защита рулевой рейки,Steering rack protection
Защита топливного бака,Fuel tank protection
Защита топливного насоса,Fuel pump protection
Защитная дуга,Protective arc
Звезда ведомая (задняя),Star driven (rear)
Звезда ведущая (передняя),Star driving (front)
Звездочка балансирного вала,Sprocket of the balancing shaft
Звездочка вакуумного насоса,Vacuum pump sprocket
Звездочка коленвала,Crankshaft sprocket
Звездочка распредвала,Camshaft sprocket
Звездочка ТНВД,Fuel pump asterisk
Зеркало бордюрное,Curb mirror
Зеркало наружное левое,External left mirror
Зеркало наружное правое,Outer right mirror
Зеркало салона,Interior mirror
Знак аварийной остановки,Emergency stop sign
Изолятор моторного отсека левый,Engine compartment insulator left
Изолятор моторного отсека правый,Engine compartment insulator right
Иммобилайзер,Immobilizer
Инвертор,Inverter
Индикатор АКПП,Automatic transmission indicator
Интардер,Intarder
Интеркулер,Intercooler
Ионизатор воздуха,Air Ionizer
Испаритель кондиционера,Air conditioner evaporator
Исполнительный узел DISA,DISA Executive Node
Кабина,Cabin
Камера BLIS,BLIS Camera
Камера KAFAS,KAFAS Camera
Камера бокового вида,Side view camera
Камера заднего вида,Rear view camera
Камера ночного видения,Night Vision Camera
Камера переднего вида,Front view camera
Камера тормозная,Brake chamber
Камеры кругового обзора (комплект),All-round view cameras (set)
Капот,Bonnet
Карбюратор,Carburetor
Карданный вал,Driveshaft
Карданный вал передний,Front driveshaft
Каретка двери сдвижной,Sliding door carriage
Каркас сиденья,Seat frame
Картер,Carter
Картер маховика,Flywheel crankcase
Картридж турбины,Turbine Cartridge
Кассета радиаторов,Radiator cassette
Катализатор,The catalyst
Катафот,Catafot
Катушка зажигания,Ignition coil
Кенгурятник,Kangaroo House
Клапан EGR,EGR Valve
Клапан вентиляции картерных газов,Crankcase gas ventilation valve
Клапан вентиляции топливного бака,Fuel tank ventilation valve
Клапан воздушный,Air valve
Клапан впускного коллектора,Intake Manifold valve
Клапан впускной,Intake valve
Клапан выпускной,Exhaust valve
Клапан горного тормоза,Mountain brake valve
Клапан запорный,Shut-off valve
Клапан защитный 4-х контурный,Protective valve 4-contour
Клапан ограничения давления,Pressure limiting valve
Клапан остаточного давления пневмоподвески,Air suspension residual pressure valve
Клапан отсечки топлива,Fuel cut-off valve
Клапан охлаждения поршней,Piston cooling valve
Клапан перепускной,Bypass valve
Клапан продувки катализатора,Catalyst Purge valve
Клапан редукционный,Pressure reducing valve
Клапан ТНВД,Injection pump valve
Клапан ТРВ (расширительный) кондиционера,Valve TRV (expansion) of the air conditioner
Клапан управления турбиной (актуатор),Turbine control valve (actuator)
Клапан ускорительный,Accelerator valve
Клапан холостого хода,Idling valve
Клапан электромагнитный,Electromagnetic valve
Клапанная крышка,Valve cover
Клемма аккумулятора минус,Battery terminal minus
Клемма аккумулятора плюс,Battery terminal plus
Клеммник,Terminal block
Клипса,Clip
Клык бампера задний левый,Rear left bumper fang
Клык бампера задний правый,Rear right bumper fang
Клык бампера передний левый,Front left bumper fang
Клык бампера передний правый,Front right bumper fang
Ключ,Key
Ключ колесный (балонный),Wheel key (balloon)
Ключ-карта,Key Card
Кнопка (выключатель),Button (switch)
Кнопка аварийной сигнализации,Alarm button
Кнопка антипробуксовочной системы,Anti-slip system button
Кнопка запуска двигателя,Engine start button
Кнопка кондиционера,Air conditioner button
Кнопка корректора фар,Headlight corrector button
Кнопка обогрева заднего стекла,Rear window heating button
Кнопка обогрева зеркал,Mirror heating button
Кнопка обогрева лобового стекла,Windshield heating button
Кнопка обогрева руля,Steering wheel heating button
Кнопка обогрева сидений,Seat heating button
Кнопка омывателя фар,Headlight washer button
Кнопка освещения панели приборов,Instrument panel lighting button
Кнопка открывания крюка фаркопа,Towbar hook opening button
Кнопка открывания люка,Hatch opening button
Кнопка открытия багажника,Trunk opening button
Кнопка открытия дверей (бесключевой доступ),Door opening button (keyless access)
Кнопка открытия капота,Hood opening button
Кнопка открытия лючка топливного бака,Fuel tank hatch opening button
Кнопка открытия стекла багажника,Trunk window opening button
Кнопка парктроника,Parking sensors button
Кнопка переключения режимов подвески,Suspension mode switch button
Кнопка поднятия крыши,Roof lift button
Кнопка противотуманных фар,Fog light button
Кнопка регулировки сидения,Seat adjustment button
Кнопка ручного тормоза (ручника),Handbrake button (handbrake)
Кнопка стеклоподъемника,Window lifter button
Кнопка стеклоподъемника заднего левого,Rear left window lifter button
Кнопка стеклоподъемника заднего правого,Rear right window lifter button
Кнопка стеклоподъемника переднего левого,Front left window lifter button
Кнопка стеклоподъемника переднего правого,Front right window lifter button
Кнопка управления бортовым компьютером,On-board computer control button
Кнопка центрального замка,Central locking button
Кнопки руля,Steering wheel buttons
Ковер багажника,Trunk Carpet
Ковер салонный,Salon carpet
Коврики в салон,Floor mats in the salon
Кожух (защита) рулевого механизма,Steering gear cover (protection)
Кожух аккумулятора,Battery cover
Кожух защитный проводки,Protective wiring cover
Кожух защитный тормозного диска,Protective cover of the brake disc
Кожух интеркулера,Intercooler casing
Кожух компрессора пневмоподвески,Air suspension compressor casing
Кожух панели приборов,Instrument panel cover
Кожух рулевой колонки,Steering column cover
Кожух турбины,Turbine casing
Козырек солнцезащитный,Sun visor
Колба в бак,Flask in the tank
Коленвал,Crankshaft
Колесо запасное (таблетка),Spare wheel (tablet)
Коллектор впускной,Intake manifold
Коллектор выпускной,Exhaust manifold
Колодки стояночного тормоза,Parking brake pads
Колпак колесный,Wheel hubcap
Колпачки маслосъемные,Oil-removing caps
Колпачок (заглушка) ручки двери,Door handle cap (plug)
Колпачок литого диска,Cast Disc Cap
Кольцо ABS,ABS Ring
Кольцо зажимное топливозаборника,Fuel intake clamping ring
Кольцо уплотнительное,Sealing ring
