name_ru,name_en
Подиум крепления датчика парктроника,Podium mounting sensor parking sensors
Подлокотник,Armrest
Подножка,Footrest
Подножка кабины левая (входной модуль),Cab footrest left (input module)
Подножка кабины правая (входной модуль),Cab footrest right (input module)
Подогрев бачка омывателя,Heating of the washer tank
Подогрев сиденья,Seat heating
Подогрев топливного фильтра,Fuel filter heating
Подогреватель Adblue,Adblue Heater
Подогреватель охлаждающей жидкости (антифриза),Coolant heater (antifreeze)
Подсветка номера,Room illumination
Подсветка порога,Threshold illumination
Подсветка салона,Interior lighting
Подстаканник,Cup holder
Подушка безопасности,Airbag
Подушка безопасности боковая (в дверь),Side airbag (in the door)
Подушка безопасности боковая (в дверь) задняя левая,Side airbag (in the door) rear left
Подушка безопасности боковая (в дверь) задняя правая,Side airbag (in the door) rear right
Подушка безопасности боковая (в дверь) передняя левая,Side airbag (in the door) front left
Подушка безопасности боковая (в дверь) передняя правая,Side airbag (in the door) front right
Подушка безопасности боковая (в сиденье),Side airbag (in the seat)
Подушка безопасности боковая (шторка),Side airbag (curtain)
Подушка безопасности боковая (шторка) левая,Side airbag (curtain) left
Подушка безопасности боковая (шторка) правая,Side airbag (curtain) right
Подушка безопасности водителя,Driver's airbag
Подушка безопасности коленная,Knee airbag
Подушка безопасности пассажира,Passenger airbag
Подушка кабины,Cabin cushion
Подушка крепления двигателя,Engine mounting cushion
Подушка крепления КПП,Gearbox mounting cushion
Подушка под моновпрыск,Pillow for monovprysk
Подушка рамы,Frame cushion
Подшипник,Bearing
Подшипник выжимной,Release bearing
Подшипник КПП,Gearbox bearing
Подшипник опорный,Bearing support
Подшипник полуоси подвесной,Suspension axle bearing
Подшипник рулевой рейки,Steering Rack Bearing
Подшипник ступицы,Hub Bearing
Подъемник шторки,Curtain Lift
Пол багажника,Trunk floor
Полка аккумулятора,Battery shelf
Полка багажника,Trunk shelf
Полка над лобовым стеклом,Shelf above the windshield
Полка под руль,Shelf under the steering wheel
Полка спальника,Sleeping bag shelf
"Полуось (приводной вал, ШРУС)","Semi-axle (drive shaft, SHRUS)"
"Полуось задняя (приводной вал, ШРУС)","Rear axle (drive shaft, SHRUS)"
"Полуось передняя левая (приводной вал, ШРУС)","Front left half-axle (drive shaft, SHRUS)"
"Полуось передняя правая (приводной вал, ШРУС)","Front right half-axle (drive shaft, SHRUS) of the half-spring"
Полурессора,Semi - aggressor
Полурессора задняя,Rear half - spring
Помпа,Pump
Порог левый,Threshold left
Порог правый,The threshold is right
Пороги (комплект),Thresholds (set)
Порт зарядный,Charging port
Поручень,Handrail
Поршень,The piston
Поршень опережения впрыска ТНВД,Fuel injection advance piston
Поршень суппорта,Caliper piston
Поршневые кольца,Piston rings
Постель коленвала,Crankshaft bed
Постель распредвала (бугель),Camshaft bed (bugle)
Потолок,Ceiling
Преднатяжитель ремня безопасности,Seat belt tensioner
Предохранитель высоковольтный,High-voltage fuse
Преобразователь давления (соленоид наддува/EGR),Pressure converter (boost solenoid/EGR)
Преобразователь напряжения,Voltage Converter
Привод вентилятора вискомуфты,Viscomuff fan drive
Привод заслонки дроссельной,Throttle valve drive
Привод круиз-контроля,Cruise control drive
Привод масляного насоса,Oil pump drive
Привод ТНВД,Fuel pump drive
Прикуриватель,Cigarette lighter
Прицепное устройство (фаркоп),Trailer hitch (towbar)
Пробка КПП,Checkpoint traffic jam
Пробка маслозаливная,Oil filling tube
Пробка расширительного бачка,Expansion tank plug
Пробка топливного бака,Fuel tank plug
Провод (кабель) камеры,Camera wire (cable)
Провод USB,USB Wire
Провод высоковольтный,High voltage wire
Провод датчика ABS,ABS sensor wire
Провод массы,Mass wire
Проводка,Wiring
Проводка (планка) свечей накала,Wiring (strip) of glow plugs
Проводка бампера заднего,Rear bumper wiring
Проводка бампера переднего,Front bumper wiring
Проводка двери,Door wiring
Проводка двигателя,Motor wiring
Проводка КПП,Checkpoint wiring
Проводка крышки багажника,Trunk lid wiring
Проводка салона,Interior wiring
Проводка фары,Headlight wiring
Проектор,Projector
Прокладка,Pad
Прокладка впускного коллектора,Intake manifold gasket
Прокладка выпускного коллектора,Exhaust manifold gasket
Прокладка ГБЦ,Cylinder head gasket
Прокладка глушителя,Muffler gasket
Прокладка катализатора,Catalyst gasket
Прокладка клапанной крышки,Valve cover gasket
Прокладка КПП (пластина),Gearbox gasket (plate)
Прокладка поддона АКПП,Automatic transmission pallet gasket
Проставки колесные,Wheel spacers
Проставки под балку подвески заднюю,Spacers for the rear suspension beam
Проставки под балку подвески переднюю (подрамник),Spacers for the front suspension beam (stretcher)
Проставки под пружины,Spacers for springs
Прочая запчасть,Other spare parts
Пружина задняя,Rear spring
Пружина крышки багажника,Trunk lid spring
Пружина передняя,Front spring
Пружина петли капота,Hood hinge spring
Пружина подвески кабины,Cab suspension spring
Пульт управления автономным отопителем,Autonomous heater control panel
Пульт управления гидроборта,Hydroboard control panel
Пульт управления лебедкой,Winch control panel
Пульт управления мультимедиа,Multimedia control panel
Пульт управления пневмоподвеской,Air suspension control panel
Пульт управления седельно-сцепным устройством,The control panel of the hitch
Пыльник,Anther
Пыльник амортизатора,Shock absorber dust cover
Пыльник двигателя,Engine dust cover
Пыльник крыла заднего левого,Rear left wing anther
Пыльник крыла заднего правого,Rear right wing anther
Пыльник крыла переднего левого,Anther of the front left wing
Пыльник крыла переднего правого,Anther of the front right wing
Пыльник рулевой рейки,Steering rack dust cover
Радар,Radar
Радиатор (дополнительный),Radiator (additional)
Радиатор (основной),Radiator (main)
Радиатор EGR,EGR radiator
Радиатор АКПП,Automatic transmission radiator
Радиатор гидроподвески,Hydraulic suspension radiator
Радиатор гидроусилителя,Power steering radiator
Радиатор инвертора,Inverter radiator
Радиатор кондиционера,Air conditioner radiator
Радиатор масляный,Oil radiator
Радиатор отопителя (печки),Radiator of the heater (stove)
Радиатор ретардера,Retarder radiator
Радиатор топлива,Fuel radiator
Радиостанция (рация),Radio station (walkie-talkie)
Раздаточная коробка,Transfer case
Разъем (фишка) проводки,Connector (chip) wiring
Разъем AUX / USB,AUX / USB connector
Рама,Frame
Рамка (накладка) рычага КПП,Frame (cover plate) of the gearbox lever
Рамка блока управления печки/климат-контроля,The frame of the stove control unit / climate control
Рамка двери задней левой,Rear left door frame
Рамка двери задней правой,Rear right door frame
Рамка двери передней левой,Front left door frame
Рамка двери передней правой,Front right door frame
Рамка зеркала наружного левого,Outer left mirror frame
Рамка зеркала наружного правого,Outer right mirror frame
Рамка капота,Hood frame
Рамка под магнитолу,Frame for the radio
Рамка решетки радиатора,Radiator grille frame
Рамка фары противотуманной левой,Fog lamp frame left
Рамка фары противотуманной правой,Right fog lamp frame
Распорка стоек,Strut struts
Распорная планка,Spacer bar
Распредвал,Camshaft
Распределитель впрыска (инжектор),Injection distributor (injector)
Распределитель зажигания (трамблёр),Ignition distributor (trambler)
Распределитель тока,Current distributor
Распределитель тормозной силы,Brake force distributor
Растяжка передка,Stretching the front
Расходомер воздуха,Air Flow meter
Расширители арок,Arch extenders
Регулятор давления топлива,Fuel pressure regulator
Регулятор дорожного просвета задний,Rear ground clearance regulator
Регулятор дорожного просвета передний,Ground clearance regulator front
Регулятор напряжения,Voltage regulator
Редуктор АКПП,Automatic transmission gearbox
Редуктор заднего моста,Rear axle gearbox
Редуктор переднего моста,Front axle gearbox
Редуктор рулевой,Steering gear
Резистор АКПП,Automatic transmission resistor
Резонатор (пламягаситель) глушителя,Resonator (flame suppressor) of the muffler
Резонатор воздушного фильтра,Air Filter resonator
Рейка доворота задней оси,Rear axle turn rail
Реле (прочие),Relays (other)
Реле бензонасоса,Fuel pump relay
Реле вентилятора,Fan relay
Реле втягивающее стартера,Starter retractor relay
Реле накала свечей,Candle glow relay
Реле поворотов,Rotation relay
Реле стеклоочистителей (дворников),Wiper relay (wipers)
Ремень безопасности,Safety belt
Ремень безопасности задний левый,Seat belt rear left
Ремень безопасности задний правый,Seat belt rear right
Ремень безопасности задний центральный,Seat belt rear central
Ремень безопасности передний левый,Seat belt front left
Ремень безопасности передний правый,Seat belt front right
Ремень генератора,Generator belt
Ремень ГРМ,Timing belt
Ремень привода рулевой рейки,Steering rack drive belt
Ремкомплект,Repair kit
Ремкомплект компрессора пневмоподвески,Air suspension compressor repair kit
Ремкомплект механизма открытия экрана MMI,Repair kit for the MMI screen opening mechanism
Ремкомплект фар,Headlight repair kit
Ремкомплект фонарей,Lamp Repair Kit
Ресивер воздушный,Receiver Air
Ресивер пневмоподвески,Receiver Air Suspension
Рессора,Spring
Рессора задняя,Rear spring
Рессора передняя,Front spring
Решетка воздухозаборника,Air intake grille
Решетка капота,Hood grille
Решетка радиатора,Radiator grille
Решетки на задние фонари,Grilles on the rear lights
Розетка зарядки автомобиля,Car charging socket
Розетка фаркопа,Towbar socket
Ролик двери сдвижной,Sliding door roller
Ролик натяжителя,Tensioner Roller
Ролик обводной,The bypass roller
Роликовая направляющая,Roller guide
Ротор генератора,Generator rotor
Руководство по эксплуатации (сервисная книжка),Operating manual (service book)
Рулевая колонка,Steering column
Рулевая рейка,Steering rack
Рулевая сошка,Steering bipod
Рулевая трапеция,Steering trapeze
Рулевой карданчик,Steering gimbal
Рулевой маятник,Steering pendulum
Руль,Rudder
Ручка бардачка,Glove box handle
Ручка внутренняя,The handle is internal
Ручка внутренняя задняя левая,Handle inner rear left
Ручка внутренняя задняя правая,Handle inner rear right
Ручка внутренняя передняя левая,Handle inner front left
Ручка внутренняя передняя правая,Handle inner front right
Ручка внутренняя потолочная,Internal ceiling handle
Ручка крышки багажника,Trunk lid handle
Ручка кулисы КПП,The handle of the backstage of the checkpoint
Ручка наружная,External handle
Ручка наружная задняя левая,Handle outer rear left
Ручка наружная задняя правая,Handle outer rear right
Ручка наружная передняя левая,Outer front left handle
Ручка наружная передняя правая,Handle outer front right
Ручка наружная сдвижной двери левой,External sliding door handle left
Ручка наружная сдвижной двери правой,External sliding door handle on the right
Ручка открывания багажника,Trunk opening handle
Ручка открывания капота,Hood opening handle
Ручка открытия заднего бокового стекла,Rear side window opening handle
Ручка открытия лючка топливного бака,Fuel tank hatch opening handle
Ручка переключателя отопителя (печки),Heater (stove) switch knob
Ручка переключения передач,Gear shift knob
Ручка регулировки спинки сиденья,Seat back adjustment knob
Ручка стеклоподъемника,Window lifter handle
Рычаг заднего стеклоочистителя,Rear wiper arm
Рычаг задний,Rear lever
Рычаг задний левый,Lever rear left
Рычаг задний правый,Lever rear right
Рычаг передний,Front lever
Рычаг передний левый,Lever front left
Рычаг передний правый,Lever front right
Рычаг ручного тормоза (ручника),Handbrake lever (handbrake)
Сабвуфер,Subwoofer
Сайлентблок,Silent Block
Салазки сиденья,Sled seats
Салон (комплект сидений),Interior (set of seats)
Сальник,Oil seal
Свеча,Candle
Свеча накала,Glow plug
Свеча накала автономного отопителя,Glow plug of an autonomous heater
Седельно-сцепное устройство,The hitch
Селектор АКПП,Automatic transmission selector
Серводвигатель (моторчик) рулевой рейки,Servo motor (motor) of the steering rack
Сервопривод заслонок впускного коллектора,Servo drive of intake manifold dampers
Сервопривод рулевого управления,Servo steering
Сетка (собачник),Grid (dogman)
Сетка для динамика,Speaker grid
Сетка крепления груза,Cargo securing grid
Сигнал (клаксон),Signal (horn)
Сиденье заднее,Rear seat
Сиденье переднее,Front seat
Сиденье переднее левое,Front left seat
Сиденье переднее правое,Front right seat
Сиденье третий ряд,Seat third row
Силовой провод аккумулятора,Battery Power wire
Сирена,Siren
Система газораспределения,Gas distribution system
Скелет ручки наружной задней левой,The skeleton of the handle of the outer rear left
Скелет ручки наружной задней правой,The skeleton of the handle of the outer rear right
Скелет ручки наружной передней левой,The skeleton of the handle of the outer front left
Скелет ручки наружной передней правой,The skeleton of the handle of the outer front right
Скоба (кронштейн) крепления форсунки,Bracket (bracket) for mounting the nozzle
Скоба суппорта,Caliper bracket
Скоба суппорта заднего,Rear caliper bracket
Скоба суппорта переднего,Front caliper bracket
Соленоид (клапан) АКПП,Automatic transmission solenoid (valve)
Сопротивление вентилятора охлаждения,Cooling fan resistance
Сопротивление печки,Stove resistance
Спальник,Sleeping bag
Спидометр,Speedometer
Спойлер,Spoiler alert
Спойлер кабины,Cabin spoiler
Стабилизатор кабины,Cabin stabilizer
Стабилизатор напряжения,Voltage stabilizer
Стабилизатор подвески (поперечной устойчивости),Suspension stabilizer (lateral stability)
Стабилизатор подвески (поперечной устойчивости) задний,Suspension stabilizer (lateral stability) rear
Стабилизатор подвески (поперечной устойчивости) передний,Suspension stabilizer (lateral stability) front
Стакан (втулка) форсунки,Nozzle cup (sleeve)
Стакан сепаратора,Separator cup
Стартер,Starter
Стартер ксенона (игнитор),Xenon starter (ignitor)
Стартер-генератор,Starter generator
Стекло двери задней левой,Rear left door glass
Стекло двери задней правой,Rear right door glass
Стекло двери передней левой,Front left door glass
Стекло двери передней правой,Front right door glass
Стекло двери сдвижной,Sliding door glass
Стекло заднее,Rear window
Стекло зеркала наружного левого,Outer left mirror glass
Стекло зеркала наружного правого,Outer right mirror glass
Стекло кузовное боковое левое,Left side body glass
Стекло кузовное боковое правое,Body glass side right
Стекло лобовое,Windshield
Стекло люка,Hatch glass
Стекло панорамной крыши,Panoramic roof glass
Стекло фары левой,Left headlight glass
Стекло фары правой,Right headlight glass
Стекло фары противотуманной левой,Glass fog lamp left
Стекло фары противотуманной правой,Right fog lamp glass
Стекло фонаря заднего левого,Rear left lamp glass
Стекло фонаря заднего правого,Rear right lamp glass
Стеклоочиститель фары левой,Left headlight wiper
Стеклоочиститель фары правой,Right headlight wiper
Стеклоподъемник,Window lifter
Стеклоподъемник задний левый,Window lifter rear left
Стеклоподъемник задний правый,Window lifter rear right
Стеклоподъемник передний левый,Window lifter front left
Стеклоподъемник передний правый,Window lifter front right
Стеклоподъемник электрический,Electric window lifter
Стеклоподъемник электрический задний левый,Electric window lifter rear left
Стеклоподъемник электрический задний правый,Electric window lifter rear right
Стеклоподъемник электрический передний левый,Electric window lifter front left
Стеклоподъемник электрический передний правый,Electric window lifter front right
Стойка задняя,Rear rack
Стойка кузовная передняя левая,Body rack front left
Стойка кузовная передняя правая,Body rack front right
Стойка кузовная центральная левая,Body rack central left
Стойка кузовная центральная правая,Body rack central right
Стойка передняя левая,Front left rack
Стойка передняя правая,Front right rack
Стойка стабилизатора задняя,Stabilizer bar rear
Стойка стабилизатора передняя,Stabilizer bar front
Столик,Table
Стоп-сигнал,Stop light
Стопор кабины,Cab stopper
Стремянка,Stepladder
Ступица задняя,Rear hub
Ступица задняя левая,Hub rear left
Ступица задняя правая,Rear right hub
Ступица передняя,Front hub
Ступица передняя левая,Hub front left
Ступица передняя правая,Hub front right
Суппорт,Caliper
Суппорт задний левый,Rear left caliper
Суппорт задний правый,Rear right caliper
Суппорт передний левый,Caliper front left
Суппорт передний правый,Caliper front right
Тахограф,Tachograph
Телефон штатный,Regular phone number
Тент,Awning
Тепловой экран глушителя,Muffler heat shield
Теплозащита кузова,Thermal protection of the body
Теплообменник масляного фильтра,Oil Filter Heat Exchanger
Термограф,Thermograph
Термос антифриза,Antifreeze thermos
Термостат,Thermostat
ТНВД,Fuel pump
Толкатель клапана,Valve tappet
Топливная рампа,Fuel ramp
Топливный теплообменник (подогреватель топлива),Fuel heat exchanger (fuel heater)
Тормозные колодки,Brake pads
Тормозные колодки задние,Rear brake pads
Тормозные колодки передние,Front brake pads
Торсион кабины,Cabin torsion bar
Торсион крышки багажника,Trunk lid torsion
Торсион подвески,Suspension Torsion bar
Траверса верхняя,Upper traverse
Траверса нижняя,Lower traverse
Трос газа,Gas cable
Трос двери,Door cable
Трос двери задней,Rear door cable
Трос двери передней,Front door cable
Трос капота,Hood cable
Трос кулисы КПП,Cable of the backstage of the checkpoint
Трос люка,Hatch cable
Трос опережения зажигания (трос подсоса),Ignition timing cable (suction cable)
Трос открывания багажника,Trunk opening cable
Трос открывания лючка топливного бака,Fuel tank hatch opening cable
Трос отопителя (печки),Heater cable (stove)
Трос ручника,Handbrake cable
Трос спидометра,Speedometer cable
Трос сцепления,Clutch cable
Труба интеркулера,Intercooler pipe
Труба перепускная,Bypass pipe
Труба приемная глушителя,Silencer receiving pipe
Трубка Dynamic Drive,Dynamic Drive Tube
Трубка вакуумная,Vacuum tube
Трубка вакуумного насоса,Vacuum Pump Tube
Трубка гидравлическая,Hydraulic tube
Трубка гидроусилителя,Power steering tube
Трубка компрессора,Compressor tube
Трубка кондиционера,Air conditioner tube
Трубка масляного радиатора,Oil Radiator tube
Трубка масляного щупа,Oil probe tube
Трубка обратки форсунок,Nozzle return tube
Трубка омывателя (шланг омывателя),Washer tube (washer hose)
Трубка охлаждающей жидкости металлическая,"Coolant tube, metal"
Трубка охлаждающей жидкости пластиковая,"Coolant tube, plastic"
Трубка пневмоподвески,Air suspension tube
Трубка сажевого фильтра,Particulate filter tube
Трубка системы рециркуляции EGR,EGR Recirculation System Tube
Трубка сцепления,Clutch tube
Трубка ТНВД,Fuel pump tube
Трубка топливная,Fuel tube
Трубка тормозная,Brake tube
Трубка турбины,Turbine tube
Трубки автономного отопителя,Autonomous heater tubes
Турбина,Turbine
Тяга,Thrust
Тяга датчика положения кузова,Traction of the body position sensor
Тяга кулисы КПП,The thrust of the backstage of the checkpoint
Тяга открывания двери,Door opening pull
Тяга привода заслонки дроссельной,Throttle valve drive thrust
Тяга развальная,The thrust is collapsible
Тяга реактивная,Jet thrust
Тяга рулевая,Steering rod
Тяга ручника,Handbrake pull
Узел педальный (блок педалей),Pedal assembly (pedal block)
Уплотнитель,Sealer
Уплотнитель багажника,Trunk seal
Уплотнитель двери задней левой,Rear left door seal
Уплотнитель двери задней правой,Rear right door seal
Уплотнитель двери передней левой,Front left door seal
Уплотнитель двери передней правой,Front right door seal
Уплотнитель двери сдвижной,Sliding door seal
Уплотнитель капота,Hood sealer
Уплотнитель люка,Hatch seal
Уплотнитель стекла лобового,Windshield glass sealer
Упор противооткатный,The stop is anti-rollback
Ус под фару,Mustache under the headlight
Ус под фару левый,Mustache under the headlight left
Ус под фару правый,Mustache under the right headlight
Ус под фонарь,Mustache under the lantern
Ус под фонарь левый,Mustache under the left lamp
Ус под фонарь правый,Mustache under the right lamp
Усилитель антенны,Antenna Amplifier
Усилитель бампера,Bumper booster
Усилитель бампера заднего,Rear bumper booster
Усилитель бампера переднего,Front bumper booster
Усилитель музыкальный,Music amplifier
Усилитель порога,Threshold amplifier
Усилитель торпедо,Torpedo Booster
Успокоитель масляный,Oil sedative
Успокоитель цепи ГРМ,Timing Chain Calmer
Фазорегулятор,Phase regulator
Фара дополнительная (прожектор),Additional headlight (spotlight)
Фара левая,Left headlight
Фара передняя (комплект),Front headlight (set)
Фара правая,Right headlight
Фара противотуманная (комплект),Fog lamp (set)
Фара противотуманная левая,Fog lamp left
Фара противотуманная правая,Fog lamp right
Фильтр АКПП,Automatic transmission filter
Фильтр воздушный,Air filter
Фильтр масляный,Oil filter
Фильтр подъема топлива,Fuel Lift Filter
Фильтр сажевый,Particulate filter
Фильтр салонный,Salon filter
Фильтр топливный,Fuel filter
Флажок кулисы КПП,The check box behind the scenes of the checkpoint
Фланец,Flange
Фланец (тройник) системы охлаждения,Flange (tee) of the cooling system
Фланец КПП,Gearbox flange
Фланец ступицы задней,Rear hub flange
Фланец турбины,Turbine flange
Фонарик штатный,Standard flashlight
Фонарь габаритный,Overall lamp
Фонарь габаритный задний левый,Taillight overall left
Фонарь габаритный задний правый,Taillight rear right
Фонарь габаритный передний левый,Marker lamp front left
Фонарь габаритный передний правый,Front right marker light
Фонарь заднего хода,Reversing light
Фонарь задний (комплект),Taillight (set)
Фонарь задний левый,Taillight left
Фонарь задний правый,Right rear light
Фонарь крышки багажника левый,Trunk lid lamp left
Фонарь крышки багажника правый,Trunk lid light right
Фонарь освещения багажника,Trunk light
Фонарь противотуманный левый,Fog lamp left
Фонарь противотуманный правый,Right fog lamp
Фонарь противотуманный центральный,Central fog lamp
Фонарь салона (плафон),Interior lamp (plafond)
Форкамера,Forkamera
Форсунка,Nozzle
Форсунка Adblue,Adblue Nozzle
Форсунка газовая,Gas nozzle
Форсунка омывателя,Washer nozzle
Форсунка омывателя заднего стекла,Rear window washer nozzle
Форсунка омывателя фар,Headlight washer nozzle
Форсунка управляющая,Control nozzle
Форточка задняя левая,Rear left window pane
Форточка задняя правая,Rear right window pane
Форточка передняя левая,Front left window pane
Форточка передняя правая,Front right window pane
Хвостовик (фланец) заднего моста,Rear axle shank (flange)
Хвостовик (фланец) переднего моста,Shank (flange) of the front axle
Хвостовик КПП,Gearbox shank
Холодильная установка,Refrigeration unit
Хомут глушителя,Muffler clamp
Цанга,Tsanga
Цапфа задняя (ось ступицы),Rear axle (hub axle)
Цапфа передняя левая,Front left axle
Цапфа передняя правая,Front right axle
Центрифуга,Centrifuge
Цепь,Chain
Цепь ГРМ,Timing chain
Цилиндр подъёма кабины,Cab lift cylinder
Цилиндр рулевого управления,Steering cylinder
Цилиндр сцепления главный,Clutch cylinder main
Цилиндр сцепления рабочий,Clutch cylinder working
Цилиндр тормозной главный,Brake main cylinder
Цилиндр тормозной рабочий,Brake working cylinder
Часть кузова (вырезанный элемент),Body part (cut-out element)
Часы,Watch
Четверть задняя левая,Quarter rear left
Четверть задняя правая,Quarter rear right
Четверть передняя левая,Front left quarter
Четверть передняя правая,Quarter front right
Чехлы для сидений,Seat covers
Чехол запаски,Spare wheel cover
Чехол рычага КПП,Gearshift lever cover
Чехол рычага ручного тормоза (ручника),Cover of the handbrake lever (handbrake)
Чехол-сумка зарядного устройства,Charger case-bag
Чулок (картер) заднего моста,Stocking (crankcase) of the rear axle
Чулок (картер) переднего моста,Stocking (crankcase) of the front axle
Шайба,Puck
Шайба стопорная,Locking washer
Шаровая опора,Ball bearing
Шатун,Connecting rod
Шестерня,Gear
Шестерня коленвала,Crankshaft gear
Шестерня спидометра,Speedometer gear
Шкворень,Pin
Шкив,Pulley
Шкив вискомуфты,Viskomufta pulley
Шкив генератора,Generator pulley
Шкив коленвала,Crankshaft pulley
Шкив насоса гидроусилителя,Hydraulic booster pump pulley
Шкив помпы,Pump pulley
Шкив промежуточного вала,Intermediate shaft pulley
Шкив распредвала,Camshaft pulley
Шкив ТНВД,Fuel pump pulley
Шланг (трубка) АКПП,Automatic transmission hose (tube)
Шланг гидроусилителя,Power steering hose
Шланг гидроусилителя высокого давления,High pressure hydraulic booster hose
Шланг гидроусилителя низкого давления,Low Pressure hydraulic booster hose
Шланг тормозной,Brake hose
Шлейф руля,Steering wheel train
ШРУС внутренний,Internal SHRUS
ШРУС карданного вала,Cardan shaft JOINT
ШРУС наружный,External SHRUS
Штанга толкателя,Pusher rod
Шток (палец) заднего гидроцилиндра,Stem (finger) of the rear hydraulic cylinder
Шторка багажника,Trunk curtain
Шторка двери,Door curtain
Шторка заднего стекла,Rear window blind
Шторка крыши,Roof curtain
Шторка люка,Sunroof curtain
Шторки салонные (комплект),Salon curtains (set)
Штуцер,Fitting
Шумоизоляция двери задней левой,Sound insulation of the rear left door
Шумоизоляция двери задней правой,Sound insulation of the rear right door
Шумоизоляция двери передней левой,Sound insulation of the front left door
Шумоизоляция двери передней правой,Sound insulation of the front right door
Шумоизоляция двигателя,Engine noise insulation
Шумоизоляция капота,Noise insulation of the hood
Шумоизоляция колесных арок,Noise insulation of wheel arches
Шумоизоляция КПП,Noise isolation of the checkpoint
Шумоизоляция моторного отсека,Noise insulation of the engine compartment
Щетки стеклоочистителя,Wiper blades
"Щеткодержатель (поводок стеклоочистителя, дворник)","Brush holder (wiper leash, wiper)"
Щеткодержатель задний,Rear brush holder
Щиток приборов (приборная панель),Instrument panel (dashboard)
Щуп двигателя,Engine dipstick
Щуп КПП,Checkpoint probe
Электрический отопитель салона,Electric interior heater
Электрический радиатор отопителя (тэн),Electric radiator heater (ten)
Электрический усилитель тормозов,Electric brake booster
Электрогидроусилитель руля,Electric hydraulic power steering
Электродвигатель гибрида,Hybrid electric motor
Электромотор раздаточной коробки,Transfer case electric motor
Электронная плата АКПП,Electronic automatic transmission board
Электропривод,Electric drive
Электропривод багажника,Electric trunk drive
Электропривод двери задней левой,Electric drive of the rear left door
Электропривод двери задней правой,Electric drive of the rear right door
Электропривод двери передней левой,Electric drive of the front left door
Электропривод двери передней правой,Electric drive of the front right door
Электропривод двери сдвижной,Electric sliding door drive
Электропривод замка капота,Electric drive of the hood lock
Электропривод форточки задней левой,Electric drive of the rear left window
Электропривод форточки задней правой,Electric drive of the rear right window
Электроручник,Electric assistant
Электроусилитель руля,Electric power steering
Эмблема,Emblem
Энергоаккумулятор,Energy accumulator
Юбка бампера заднего,Rear Bumper Skirt
Юбка бампера нижняя,Lower bumper skirt
Юбка бампера переднего,Front Bumper Skirt
